White,Black,Location,Year,Event,Result,Moves,Opening,Link
Alexander Alekhine,Ernst Gruenfeld,"Vienna, Austria",1922,"Vienna 1922, Round 5",0-1,55,Grünfeld Defense: Stockholm Variation,https://www.chessgames.com/perl/chessgame?gid=1012148
Siegbert Tarrasch,Emanuel Lasker,"Duesseldorf, Germany",1908,"Lasker - Tarrasch World Championship Match 1908, Round 4",0-1,41,"Ruy Lopez: Berlin Defense, Hedgehog Variation",https://www.chessgames.com/perl/chessgame?gid=1241476
Alexander Alekhine,Hoelscher,"Amstelveen, Netherlands",1933,"Simul, 50b 1933",1-0,17,Ruy Lopez: Steinitz Defense,https://www.chessgames.com/perl/chessgame?gid=1012997
Lajos Portisch,Robert James Fischer,"Santa Monica, CA, United States",1966,"Second Piatigorsky Cup 1966, Round 11",0-1,35,"Nimzo-Indian Defense: St. Petersburg Variation, Fischer Variation",https://www.chessgames.com/perl/chessgame?gid=1044015
Robert James Fischer,Lajos Portisch,"Havana, Cuba",1966,"Havana ol (Men) fin-A 1966, Round 6",1-0,34,"Ruy Lopez: Exchange Variation, Gligoric Variation",https://www.chessgames.com/perl/chessgame?gid=1044249
Lindemann,Echtermeyer,"Kiel, Germany",1893,Kiel 1893,0-1,3,Scandinavian Defense: Mieses-Kotroc Variation,https://www.chessgames.com/perl/chessgame?gid=1242985
Ivan Skrypin,Alexey Glebov,Evpatoria,2007,"UKR-ch U08 2007, Round 4",0-1,2,Bird Opening,https://www.chessgames.com/perl/chessgame?gid=1684362
