White,Black,Location,Year,Event,Result,Moves,Opening,Link
Alexander Alekhine,Leendert Gerardus Engelen,"Semarang, INA",1933,"Simul, 50b 1933",1-0,34,Queen's Gambit Declined: Marshall Defense,https://www.chessgames.com/perl/chessgame?gid=1013022
Boris Gelfand,Veselin Topalov,"Linares, Spain",1997,"Linares 1997, Round 7",0-1,32,"King's Indian Defense: Orthodox Variation, Gligoric-Taimanov System",https://www.chessgames.com/perl/chessgame?gid=1143909
Peter Leko,Vladimir Kramnik,"Belgrade, Serbia",1995,"Belgrade Investbank 1995, Round 8",1-0,48,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",https://www.chessgames.com/perl/chessgame?gid=1086000
Ilia Abramovich Kan,Mikhail Botvinnik,"Odessa, Soviet Union",1929,"USSR Championship 1929, Round 4",1-0,19,"Italian Game: Evans Gambit Declined, Showalter Variation",https://www.chessgames.com/perl/chessgame?gid=1031713
