White,Black,Location,Year,Event,Result,Moves,Opening,Link
Alexander Flamberg,Efim Bogoljubov,"Triberg, (GERMANY)",1914,Triberg (Germany) 1914,0-1,24,"Ruy Lopez: Open, Friess Attack",https://www.chessgames.com/perl/chessgame?gid=1030604
Josef Cukierman,Andre Voisin,"Paris, France",1928,Paris-ch 1928,1-0,31,Queen's Pawn Game: Zukertort Variation,https://www.chessgames.com/perl/chessgame?gid=1306150
Wilhelm Steinitz,Van der Meden,"London, England",1865,Odds game 1865,1-0,20,King's Gambit Accepted: Double Muzio Gambit,https://www.chessgames.com/perl/chessgame?gid=1416826
Paul Keres,Eero Einar Book,"Kemeri, Soviet Union",1937,"Kemeri 1937, Round 6",1-0,27,Queen's Gambit Declined: Three Knights Variation,https://www.chessgames.com/perl/chessgame?gid=1071795
Wilhelm Steinitz,Rock,"London, England",1863,Casual game 1863,1-0,18,"Italian Game: Evans Gambit, Anderssen Defense",https://www.chessgames.com/perl/chessgame?gid=1274802
Alexander Alekhine,Conel Hugh O'Donel Alexander,"Nottingham, England",1936,"Nottingham 1936, Round 11",1-0,27,Bogo-Indian Defense: Grünfeld Variation,https://www.chessgames.com/perl/chessgame?gid=1008355
Michelet,Lionel Adalbert Bagration Felix Kieseritzky,"Paris, France",1843,Paris 1843,1-0,31,"King's Gambit Accepted: Salvio Gambit, Cochrane Gambit",https://www.chessgames.com/perl/chessgame?gid=1075495
Eugen Sobernheim,Salomon A Langleben,"New York, NY, United States",1895,Casual game 1895,0-1,25,"French Defense: Classical Variation, Richter Attack",https://www.chessgames.com/perl/chessgame?gid=1586832
Arthur Dunkelblum,Paul Keres,"Ostend, Belgium",1937,"Ostend 1937, Round 7",0-1,22,Indian Defense: Spielmann-Indian,https://www.chessgames.com/perl/chessgame?gid=1071812
