White,Black,Location,Year,Event,Result,Moves,Opening,Link
NN,Siegbert Tarrasch,Munich,1915,Munich 1915,0-1,26,"Ruy Lopez: Open, Breslau Variation",https://www.chessgames.com/perl/chessgame?gid=1416827
Alexander Flamberg,Efim Bogoljubov,"Triberg, (GERMANY)",1914,Triberg (Germany) 1914,0-1,24,"Ruy Lopez: Open, Friess Attack",https://www.chessgames.com/perl/chessgame?gid=1030604
Jose Raul Capablanca,Marc Fonaroff,"New York, NY, United States",1918,Casual Game 1918,1-0,22,"Ruy Lopez: Berlin Defense, Hedgehog Variation",https://www.chessgames.com/perl/chessgame?gid=1265585
